Household ID,Sampling data,Volume [l],Waste total mass [kg],Organics [kg],Paper & Cardboard [kg],Plastics [kg],Textiles [kg],Hygiene Products [kg],Metals [kg],Glass [kg],Others [kg],Stones [kg],Comments
1.1,08.11.2023,17,2.302,2.16,0.053,0.005,0,0,0,0,0.028,0,In the samples of 8.11 the categorie stones did not existe therefore the stones are in those samples in the category others.
1.2,09.11.2023,16,3.012,1.322,-0.002,0.007,-0.006,0,0,0,2.034,0.894,In categorie Others there is a lot of ash
1.3,10.11.2023,17,1.805,1.631,0.027,0.012,0.003,0,-0.003,0,0.029,0.086,
1.4,11.11.2023,17,2.783,1.36,0.036,0.012,0,0,0,0,0.048,1.205,
1.5,12.11.2023,17,2.764,1.562,0.01,-0.001,0,0,0,0,0.009,1.137,
1.6,13.11.2023,17,2.107,0.771,-0.003,0.027,-0.003,0,0,0.019,0.069,1.166,
1.7,14.11.2023,17,1.392,0.848,0,0.009,0,0,0,0,0.006,0.476,In categorie Organic there is a lot of grass
1.8,15.11.2023,17,1.637,1.307,0,-0.001,0,0,0,0,-0.003,0.278,In categorie Organic there is a lot of grass
2.1,08.11.2023,4,0.881,0.725,0.05,0.017,0,0,0,0,0.025,0,
2.2,09.11.2023,6,0.996,0.698,0.011,0.101,0,0,0,0,-0.002,0.128,
2.3,10.11.2023,7,0.634,0.191,0.004,0.322,0.046,0,0,0,0.009,0.051,
2.4,11.11.2023,4,0.887,0.483,0.016,0.151,0.012,0,0,0,0.023,0.185,
2.5,12.11.2023,6,1.166,0.365,0.009,0.113,-0.006,0,0.003,0,0.021,0.604,
2.6,13.11.2023,6,0.99,0.42,0.018,0.146,0.018,0,0,0,0.005,0.359,
2.7,14.11.2023,6,0.998,0.408,0.026,0.159,0.028,0,0,0,0.042,0.322,
2.8,15.11.2023,6,0.758,0.516,0.002,0.192,0.008,0,0,0,0.004,0,
3.1,08.11.2023,7,0.953,0.285,0.159,0.129,0.07,0,0,0,0.219,0,
3.2,09.11.2023,6,0.996,0.358,0.077,0.105,0,0,0,0,0.011,0.379,
3.3,10.11.2023,10,1.804,0.836,0.04,0.272,0.029,0,0.05,0,0.028,0.472,
